filename;Time / s;Input_power;Output_power;Losses;Efficency;Caps_losses;FL1_losses;HF1_losses;FL2_losses;HF2_losses;Bulkcap_losses;GaN_total_losses;GaN_switching_losses;GaN_ohmic_losses;L_losses;iTHD_percentage;Si_conduction;Si_switching;Si_total;EMI_losses
50;1,1000000000000001;52,666248937811439;49,998453240338463;7,9607232359349167;84,078061435768731;0,81179996200162097;0,0078361093585949775;0,00016990305796411683;0,0035158324243775817;0,00011744240132373387;0,8001836926415804;4,9178352294110583;1,7387676828828762;3,1790675465245037;1,8052967228100325;224,47134331826001;0,35110490081648854;0,0019932562623800245;0,35309815707872433;0,072693164635935878
100;1,1000000000000001;102,47515554619842;99,9993002456102;8,320281091065393;91,679660684204634;0,81297485750490417;0,0082781815117824887;0,00020678972336043329;0,0041346431809952087;0,00016038814342232704;0,80019132622348554;5,2298803547352586;1,7466869602250545;3,4831933945174041;1,8048278369953574;142,75198860273485;0,42074664241101983;0,001965279732166301;0,42271192214273751;0,049886119694465776
150;1,1000000000000001;152,47510415069794;150,00008319560601;8,8481785316281307;94,101217566078759;0,81490935660504005;0,0090846028830653819;0,00026294075315877301;0,0051397956733861541;0,00021566406202832761;0,80020258220952567;5,6786320952746969;1,7560298891046713;3,9226022061726393;1,8052100555092201;100,90058141621662;0,50625694566752688;0,00192901796844545;0,50818596363536461;0,041241060611952922
200;1,1000000000000001;202,54823163901938;200,00003218873164;9,4807462616196077;95,259627624515005;0,81782278670651998;0,010281048542127556;0,00033644190615599007;0,0066808842312187835;0,00029878425310514401;0,80021438746948614;6,1998823804761161;1,7633197498567954;4,4365626306218919;1,8081795008168007;77,60985118058791;0,6078960088788129;0,0018959761468352728;0,60979198502482257;0,045069608587251619
250;1,300000e+00;2,525304e+02;2,500004e+02;1,036917e+01;9,585234e+01;8,239494e-01;1,314764e-02;2,500037e-04;1,012213e-02;1,829531e-04;8,002462e-01;6,857323e+00;1,769539e+00;5,087785e+00;1,811476e+00;5,292027e+01;7,235861e-01;1,820053e-03;7,254062e-01;1,510153e-01
300;1,1000000000000001;302,5292468958541;300,0005819496597;10,859989909993951;96,380010387568518;0,82524045395147461;0,013587540555994876;0,00051062598047683287;0,010424527344094995;0,00047812041662412215;0,8002414775961656;7,3270086834816777;1,7843853748524645;5,5426233086370509;1,8162072993182288;53,055801257415801;0,81490653432537563;0,0015977622951063044;0,81650429662196522;0,075029176635074746
350;1,300000e+00;3,525568e+02;3,500009e+02;1,184022e+01;9,661709e+01;8,313001e-01;1,652826e-02;4,227699e-04;1,369631e-02;3,783201e-04;8,002736e-01;8,096946e+00;1,822563e+00;6,274383e+00;1,820473e+00;4,115312e+01;9,372921e-01;1,556188e-03;9,388483e-01;1,526476e-01
400;1,300000e+00;4,025768e+02;4,000012e+02;1,269400e+01;9,682651e+01;8,351975e-01;1,834988e-02;5,078211e-04;1,558413e-02;4,654197e-04;8,002899e-01;8,825287e+00;1,871179e+00;6,954108e+00;1,825717e+00;3,780470e+01;1,052493e+00;1,609294e-03;1,054102e+00;1,536974e-01
450;1,300000e+00;4,525978e+02;4,500016e+02;1,361091e+01;9,697536e+01;8,383315e-01;1,980320e-02;5,815456e-04;1,707909e-02;5,618603e-04;8,003052e-01;9,612480e+00;1,943335e+00;7,669144e+00;1,831502e+00;3,353494e+01;1,175841e+00;1,599582e-03;1,177440e+00;1,511576e-01
500;1,300000e+00;5,026239e+02;5,000023e+02;1,456406e+01;9,708720e+01;8,427263e-01;2,196626e-02;6,911697e-04;1,908221e-02;6,605597e-04;8,003258e-01;1,042813e+01;2,015266e+00;8,412867e+00;1,838860e+00;3,074423e+01;1,302484e+00;1,272077e-03;1,303756e+00;1,505846e-01
550;1,300000e+00;5,526508e+02;5,500031e+02;1,554258e+01;9,717409e+01;8,480639e-01;2,450383e-02;7,972899e-04;2,164226e-02;7,705891e-04;8,003497e-01;1,126484e+01;2,088458e+00;9,176385e+00;1,846072e+00;2,871033e+01;1,430377e+00;7,460934e-04;1,431123e+00;1,524754e-01
600;1,300000e+00;6,026796e+02;6,000040e+02;1,652622e+01;9,724565e+01;8,536427e-01;2,716005e-02;8,969955e-04;2,432357e-02;8,866369e-04;8,003758e-01;1,210329e+01;2,153029e+00;9,950258e+00;1,853946e+00;2,664918e+01;1,560483e+00;1,125508e-03;1,561608e+00;1,537420e-01
650;1,300000e+00;6,527107e+02;6,500051e+02;1,753242e+01;9,730273e+01;8,594937e-01;2,996144e-02;9,959776e-04;2,712903e-02;1,002885e-03;8,004034e-01;1,296016e+01;2,214613e+00;1,074554e+01;1,862814e+00;2,423697e+01;1,693314e+00;1,592759e-03;1,694906e+00;1,550494e-01
700;1,300000e+00;7,027445e+02;7,000064e+02;1,855459e+01;9,734937e+01;8,659053e-01;3,296698e-02;1,163055e-03;3,017072e-02;1,170605e-03;8,004335e-01;1,383090e+01;2,278694e+00;1,155220e+01;1,872899e+00;2,239759e+01;1,826416e+00;1,347687e-03;1,827763e+00;1,571306e-01
750;1,300000e+00;7,527812e+02;7,500079e+02;1,958205e+01;9,738909e+01;8,729021e-01;3,632093e-02;1,313594e-03;3,348325e-02;1,317542e-03;8,004663e-01;1,470530e+01;2,337472e+00;1,236783e+01;1,883519e+00;2,087613e+01;1,960068e+00;8,671656e-04;1,960935e+00;1,593934e-01
800;1,300000e+00;8,028204e+02;8,000096e+02;2,061164e+01;9,742358e+01;8,805299e-01;3,998640e-02;1,454870e-03;3,713778e-02;1,448377e-03;8,005016e-01;1,558073e+01;2,392614e+00;1,318812e+01;1,894171e+00;1,953180e+01;2,094079e+00;3,595766e-04;2,094439e+00;1,617709e-01
850;1,300000e+00;8,528624e+02;8,500115e+02;2,164852e+01;9,745315e+01;8,886793e-01;4,389853e-02;1,583678e-03;4,104675e-02;1,610482e-03;8,005392e-01;1,645931e+01;2,444915e+00;1,401439e+01;1,906006e+00;1,844495e+01;2,229539e+00;3,499901e-04;2,229889e+00;1,646379e-01
900;1,300000e+00;9,029071e+02;9,000137e+02;2,268906e+01;9,747903e+01;8,974331e-01;4,804562e-02;1,782118e-03;4,519994e-02;1,825659e-03;8,005791e-01;1,733890e+01;2,493570e+00;1,484533e+01;1,918662e+00;1,755746e+01;2,365980e+00;2,603136e-04;2,366241e+00;1,678170e-01
950;1,300000e+00;9,529543e+02;9,500160e+02;2,373200e+01;9,750194e+01;9,065527e-01;5,242653e-02;1,931227e-03;4,957921e-02;1,994077e-03;8,006212e-01;1,821917e+01;2,539693e+00;1,567948e+01;1,931762e+00;1,667848e+01;2,503257e+00;1,353572e-04;2,503392e+00;1,711229e-01
1000;1,300000e+00;1,003004e+03;1,000019e+03;2,477889e+01;9,752216e+01;9,160255e-01;5,701904e-02;2,040425e-03;5,417128e-02;2,128686e-03;8,006655e-01;1,910208e+01;2,582613e+00;1,651947e+01;1,944916e+00;1,581560e+01;2,641361e+00;2,602985e-04;2,641621e+00;1,742404e-01
1050;1,300000e+00;1,053057e+03;1,050022e+03;2,583230e+01;9,753983e+01;9,262307e-01;6,185319e-02;2,291572e-03;5,900812e-02;2,364686e-03;8,007121e-01;1,998783e+01;2,623329e+00;1,736450e+01;1,959940e+00;1,508548e+01;2,779950e+00;3,550987e-04;2,780305e+00;1,779899e-01
1100;1,300000e+00;1,103112e+03;1,100025e+03;2,688897e+01;9,755560e+01;9,367008e-01;6,690416e-02;2,449764e-03;6,405997e-02;2,525386e-03;8,007609e-01;2,087514e+01;2,662318e+00;1,821283e+01;1,975487e+00;1,450796e+01;2,919265e+00;3,364294e-04;2,919601e+00;1,820344e-01
1150;1,300000e+00;1,153170e+03;1,150028e+03;2,795189e+01;9,756946e+01;9,478801e-01;7,219933e-02;2,693241e-03;6,936046e-02;2,814363e-03;8,008121e-01;2,176571e+01;2,700133e+00;1,906558e+01;1,991871e+00;1,396622e+01;3,059456e+00;6,962313e-04;3,060152e+00;1,862788e-01
1200;1,300000e+00;1,203231e+03;1,200032e+03;2,901815e+01;9,758189e+01;9,593018e-01;7,771788e-02;2,828504e-03;7,488109e-02;3,008364e-03;8,008655e-01;2,265811e+01;2,736147e+00;1,992197e+01;2,008839e+00;1,337075e+01;3,200276e+00;8,379703e-04;3,201114e+00;1,907812e-01
1250;1,300000e+00;1,253295e+03;1,250036e+03;3,008992e+01;9,759288e+01;9,712056e-01;8,347474e-02;2,988667e-03;8,062878e-02;3,191891e-03;8,009211e-01;2,355372e+01;2,770740e+00;2,078298e+01;2,026514e+00;1,302337e+01;3,342018e+00;5,540931e-04;3,342572e+00;1,959065e-01
1300;1,300000e+00;1,303361e+03;1,300041e+03;3,116843e+01;9,760250e+01;9,837140e-01;8,946511e-02;3,194893e-03;8,661894e-02;3,455443e-03;8,009791e-01;2,445378e+01;2,804346e+00;2,164943e+01;2,045008e+00;1,250268e+01;3,484651e+00;3,244105e-04;3,484975e+00;2,009566e-01
1350;1,300000e+00;1,353430e+03;1,350046e+03;3,225132e+01;9,761109e+01;9,968885e-01;9,568048e-02;3,502596e-03;9,284105e-02;3,824047e-03;8,010393e-01;2,535581e+01;2,837227e+00;2,251859e+01;2,064630e+00;1,206279e+01;3,627587e+00;1,244322e-04;3,627712e+00;2,062734e-01
1400;1,300000e+00;1,403502e+03;1,400051e+03;3,333784e+01;9,761881e+01;1,010276e+00;1,021336e-01;3,736890e-03;9,928152e-02;4,022017e-03;8,011018e-01;2,625969e+01;2,869092e+00;2,339060e+01;2,084914e+00;1,159471e+01;3,771150e+00;4,676148e-05;3,771196e+00;2,117669e-01
1450;1,300000e+00;1,453576e+03;1,450056e+03;3,442754e+01;9,762578e+01;1,024059e+00;1,088143e-01;3,889468e-03;1,059572e-01;4,230903e-03;8,011665e-01;2,716522e+01;2,900055e+00;2,426517e+01;2,105895e+00;1,120085e+01;3,914708e+00;4,672922e-05;3,914755e+00;2,176123e-01
1500;1,300000e+00;1,503654e+03;1,500062e+03;3,552175e+01;9,763198e+01;1,038350e+00;1,157318e-01;4,100443e-03;1,128674e-01;4,416862e-03;8,012336e-01;2,807324e+01;2,930407e+00;2,514283e+01;2,127802e+00;1,083844e+01;4,058529e+00;4,669884e-05;4,058576e+00;2,237830e-01
1550;1,300000e+00;1,553734e+03;1,550069e+03;3,662197e+01;9,763740e+01;1,053056e+00;1,228770e-01;4,292941e-03;1,199945e-01;4,584724e-03;8,013029e-01;2,898545e+01;2,960619e+00;2,602483e+01;2,150401e+00;1,050916e+01;4,202815e+00;4,667175e-05;4,202861e+00;2,302038e-01
1600;1,300000e+00;1,603817e+03;1,600076e+03;3,772819e+01;9,764210e+01;1,068517e+00;1,302714e-01;4,561590e-03;1,273839e-01;4,924044e-03;8,013745e-01;2,990123e+01;2,990560e+00;2,691067e+01;2,173925e+00;1,023655e+01;4,347362e+00;7,835512e-05;4,347441e+00;2,370772e-01
1650;1,300000e+00;1,653903e+03;1,650083e+03;3,884187e+01;9,764607e+01;1,084829e+00;1,378935e-01;4,993821e-03;1,350303e-01;5,462092e-03;8,014484e-01;3,082126e+01;3,020315e+00;2,780095e+01;2,198939e+00;9,937587e+00;4,492395e+00;2,642587e-04;4,492659e+00;2,441807e-01
1700;1,300000e+00;1,703992e+03;1,700091e+03;3,996062e+01;9,764950e+01;1,101162e+00;1,457520e-01;5,168540e-03;1,429159e-01;5,800723e-03;8,015246e-01;3,174541e+01;3,050005e+00;2,869540e+01;2,224478e+00;9,627526e+00;4,637715e+00;3,059354e-04;4,638021e+00;2,515567e-01
1750;1,300000e+00;1,754084e+03;1,750099e+03;4,108304e+01;9,765253e+01;1,117707e+00;1,538036e-01;5,310348e-03;1,509480e-01;6,042003e-03;8,016028e-01;3,267256e+01;3,079590e+00;2,959297e+01;2,250707e+00;9,322042e+00;4,782929e+00;3,039783e-04;4,783233e+00;2,588355e-01
1800;1,300000e+00;1,804179e+03;1,800108e+03;4,221081e+01;9,765510e+01;1,134891e+00;1,621325e-01;5,553292e-03;1,592683e-01;6,253104e-03;8,016836e-01;3,360353e+01;3,109323e+00;3,049421e+01;2,277495e+00;9,063236e+00;4,928054e+00;1,318261e-04;4,928186e+00;2,667023e-01
1850;1,300000e+00;1,854276e+03;1,850117e+03;4,334531e+01;9,765716e+01;1,152606e+00;1,706748e-01;5,701468e-03;1,679053e-01;6,557430e-03;8,017668e-01;3,453890e+01;3,139193e+00;3,139970e+01;2,305527e+00;8,797190e+00;5,073083e+00;4,654007e-05;5,073130e+00;2,751511e-01
1900;1,300000e+00;1,904377e+03;1,900126e+03;4,448647e+01;9,765876e+01;1,171216e+00;1,795462e-01;6,029673e-03;1,768560e-01;6,930970e-03;8,018525e-01;3,547817e+01;3,168909e+00;3,230927e+01;2,334847e+00;8,481279e+00;5,218034e+00;4,651165e-05;5,218081e+00;2,841527e-01
1950;1,300000e+00;1,954480e+03;1,950137e+03;4,563172e+01;9,766008e+01;1,189403e+00;1,885772e-01;6,003768e-03;1,859157e-01;6,966080e-03;8,019402e-01;3,642131e+01;3,198414e+00;3,322289e+01;2,364666e+00;8,215373e+00;5,363215e+00;4,648469e-05;5,363261e+00;2,930856e-01
2000;1,300000e+00;2,004586e+03;2,000147e+03;4,678339e+01;9,766100e+01;1,208562e+00;1,978655e-01;6,259497e-03;1,952269e-01;7,179359e-03;8,020302e-01;3,736854e+01;3,227582e+00;3,414095e+01;2,395340e+00;7,992791e+00;5,508622e+00;4,645900e-05;5,508669e+00;3,022871e-01
2050;1,300000e+00;2,054696e+03;2,050159e+03;4,793966e+01;9,766166e+01;1,228273e+00;2,073808e-01;6,455940e-03;2,047851e-01;7,527976e-03;8,021225e-01;3,831849e+01;3,256615e+00;3,506188e+01;2,426716e+00;7,831628e+00;5,654258e+00;4,643795e-05;5,654305e+00;3,118785e-01
2100;1,300000e+00;2,104808e+03;2,100170e+03;4,910165e+01;9,766202e+01;1,248147e+00;2,171242e-01;6,720258e-03;2,145090e-01;7,575846e-03;8,022169e-01;3,927299e+01;3,285866e+00;3,598712e+01;2,458828e+00;7,678129e+00;5,800034e+00;4,642520e-05;5,800081e+00;3,216025e-01
2150;1,300000e+00;2,154924e+03;2,150183e+03;5,026967e+01;9,766207e+01;1,268697e+00;2,271034e-01;6,818119e-03;2,245007e-01;7,960608e-03;8,023137e-01;4,023121e+01;3,316024e+00;3,691519e+01;2,491987e+00;7,493235e+00;5,946105e+00;4,641792e-05;5,946152e+00;3,316201e-01
2200;1,300000e+00;2,205042e+03;2,200196e+03;5,144230e+01;9,766192e+01;1,288620e+00;2,372967e-01;6,554353e-03;2,346565e-01;7,699670e-03;8,024126e-01;4,119303e+01;3,346924e+00;3,784610e+01;2,526026e+00;7,315907e+00;6,092662e+00;4,640906e-05;6,092708e+00;3,419217e-01
2250;1,300000e+00;2,255164e+03;2,250210e+03;5,262232e+01;9,766145e+01;1,310059e+00;2,477479e-01;6,628320e-03;2,450877e-01;8,080438e-03;8,025139e-01;4,215861e+01;3,378033e+00;3,878057e+01;2,561679e+00;7,123010e+00;6,239560e+00;4,639477e-05;6,239606e+00;3,523743e-01
2300;1,300000e+00;2,305288e+03;2,300224e+03;5,380854e+01;9,766073e+01;1,332420e+00;2,584677e-01;7,079729e-03;2,557565e-01;8,498155e-03;8,026174e-01;4,312798e+01;3,408898e+00;3,971908e+01;2,598470e+00;6,878308e+00;6,386546e+00;4,638219e-05;6,386592e+00;3,630825e-01
2350;1,300000e+00;2,355416e+03;2,350239e+03;5,499919e+01;9,765985e+01;1,354941e+00;2,694078e-01;7,367766e-03;2,666455e-01;8,796410e-03;8,027232e-01;4,410109e+01;3,438890e+00;4,066220e+01;2,635863e+00;6,728102e+00;6,533138e+00;4,637523e-05;6,533184e+00;3,741179e-01
2400;1,300000e+00;2,405547e+03;2,400254e+03;5,619543e+01;9,765877e+01;1,378211e+00;2,806141e-01;8,051893e-03;2,777555e-01;8,958235e-03;8,028315e-01;4,507890e+01;3,467843e+00;4,161105e+01;2,673529e+00;6,577839e+00;6,679400e+00;4,637139e-05;6,679446e+00;3,853497e-01
